Age,Gender,Education Level,Job Title,Years of Experience,Salary,Skills
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,Machine Learning
41.0,Female,Master's,Data Analyst,13.0,80000.0,Java
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,Data Analysis
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,Communication
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,Machine Learning
34.0,Female,Master's,Financial Advisor,10.0,95000.0,Machine Learning
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,SQL
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,Machine Learning
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,Communication
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,Python
36.0,Male,PhD,Principal Scientist,11.0,120000.0,Data Analysis
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,Machine Learning
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,Machine Learning
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,SQL
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,SQL
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,Data Analysis
47.0,Male,PhD,Research Scientist,22.0,160000.0,SQL
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,Java
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,Data Analysis
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,Machine Learning
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,Machine Learning
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,Java
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,Communication
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,Communication
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,Data Analysis
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,Java
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,Machine Learning
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,Management
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,Python
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,SQL
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,Java
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,Data Analysis
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,Management
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,Management
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,Data Analysis
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,Data Analysis
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,Data Analysis
48.0,Male,PhD,Principal Engineer,20.0,170000.0,SQL
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,Communication
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,SQL
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,SQL
53.0,Male,Master's,Director of Marketing,25.0,180000.0,Data Analysis
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,Management
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,Python
44.0,Female,PhD,Senior Scientist,16.0,140000.0,Management
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,Communication
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,Machine Learning
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,SQL
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,Java
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,Communication
50.0,Female,Master's,Director of Operations,21.0,160000.0,Data Analysis
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,Communication
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,Java
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,Communication
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,Machine Learning
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,SQL
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,Java
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,Management
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,Management
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,Communication
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Management
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,Java
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,SQL
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,Machine Learning
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,Java
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,Java
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,Communication
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,Java
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,Communication
45.0,Male,Master's,Director of Sales,19.0,175000.0,Machine Learning
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,Machine Learning
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,Management
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,SQL
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,Machine Learning
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,Management
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,Data Analysis
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,Java
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,Data Analysis
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,Java
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,Machine Learning
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,SQL
48.0,Male,Master's,Director of Product Management,21.0,175000.0,Communication
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,Communication
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,Data Analysis
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,Communication
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,SQL
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,Communication
46.0,Male,PhD,Senior Researcher,18.0,150000.0,Communication
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,Communication
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,Python
50.0,Female,Master's,Director of Finance,20.0,180000.0,Machine Learning
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Management
,,,,,,Machine Learning
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,Communication
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,Machine Learning
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,Java
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,Python
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,Management
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,SQL
46.0,Male,Master's,Director of Operations,20.0,170000.0,Java
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,Java
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,Communication
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,Management
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,Python
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,Data Analysis
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,Data Analysis
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,Communication
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,Java
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,Machine Learning
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,SQL
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,Communication
47.0,Male,Master's,Director of Business Development,19.0,170000.0,Java
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,Data Analysis
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,Python
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,Management
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Data Analysis
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,Management
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,Java
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,Java
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,Java
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,Java
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,Python
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,Java
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,Data Analysis
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,Management
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,Java
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,SQL
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,Communication
47.0,Male,Master's,Director of Finance,20.0,170000.0,Data Analysis
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Machine Learning
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,Java
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Data Analysis
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,Management
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,SQL
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,Management
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,Machine Learning
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Management
50.0,Female,PhD,Director of Operations,22.0,180000.0,SQL
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,Java
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,Data Analysis
48.0,Male,Master's,Director of Marketing,19.0,170000.0,Machine Learning
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,SQL
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,Java
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,Python
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,Java
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,SQL
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Python
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,SQL
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,SQL
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,Machine Learning
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,SQL
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,SQL
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,Communication
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,Management
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,Java
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,SQL
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,Machine Learning
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,Machine Learning
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,Python
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,Machine Learning
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,Management
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,Management
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,SQL
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,Data Analysis
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,Machine Learning
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,Data Analysis
49.0,Female,Master's,Director of Marketing,21.0,180000.0,Machine Learning
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,Data Analysis
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,Python
47.0,Male,Master's,Director of Operations,20.0,170000.0,Data Analysis
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Management
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,Communication
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,SQL
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,Python
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Management
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,Communication
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,Java
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Machine Learning
50.0,Female,PhD,Director of Operations,22.0,180000.0,Machine Learning
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,Python
,,,,,,Python
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,Java
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Java
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,Management
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,Python
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,Data Analysis
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,Java
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,Python
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,Machine Learning
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,SQL
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Python
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,Data Analysis
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,Data Analysis
47.0,Female,Master's,Director of Marketing,20.0,180000.0,SQL
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Python
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,Java
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,SQL
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,Management
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,Communication
49.0,Female,Master's,Director of Operations,21.0,180000.0,Management
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,Python
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,Machine Learning
47.0,Male,Master's,Director of Marketing,19.0,170000.0,Python
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,Data Analysis
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,Python
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,Java
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Python
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Communication
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,Data Analysis
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,Java
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Communication
49.0,Male,PhD,Director of Operations,21.0,180000.0,Management
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,Data Analysis
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,Data Analysis
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,Machine Learning
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,Management
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,Communication
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,SQL
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,Data Analysis
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,Data Analysis
48.0,Female,Master's,Director of HR,20.0,180000.0,Communication
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,Python
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,Data Analysis
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Data Analysis
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,SQL
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,Machine Learning
49.0,Female,Master's,Director of Marketing,21.0,180000.0,Python
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,Machine Learning
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,Machine Learning
47.0,Male,Master's,Director of Marketing,19.0,170000.0,Management
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,Machine Learning
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,Python
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,Data Analysis
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Management
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Python
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,Data Analysis
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,Java
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,Data Analysis
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,Management
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,Management
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,Machine Learning
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,Machine Learning
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,Python
47.0,Male,PhD,Director of Engineering,20.0,180000.0,SQL
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,Communication
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,Machine Learning
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,Python
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,Data Analysis
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Management
48.0,Male,Master's,Director of Marketing,21.0,180000.0,Data Analysis
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,Communication
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,Python
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,Java
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,Management
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,Data Analysis
47.0,Male,Master's,Director of Operations,19.0,170000.0,Data Analysis
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Data Analysis
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,Communication
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,Java
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,Communication
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,Data Analysis
43.0,Male,Master's,Director of Marketing,18.0,170000.0,SQL
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,SQL
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,Python
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,Java
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Java
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Machine Learning
45.0,Male,Master's,Director of Engineering,19.0,180000.0,Machine Learning
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,Python
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,Python
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,Management
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,Java
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Machine Learning
48.0,Male,Master's,Director of Marketing,21.0,180000.0,Data Analysis
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,Java
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,Machine Learning
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,Data Analysis
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,Java
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,Management
47.0,Male,Master's,Director of Operations,19.0,170000.0,SQL
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Machine Learning
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,SQL
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,SQL
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,SQL
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,Data Analysis
43.0,Male,Master's,Director of Marketing,18.0,170000.0,Communication
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,Data Analysis
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,Management
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,Communication
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,SQL
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Python
43.0,Male,Master's,Director of Operations,19.0,170000.0,Java
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Data Analysis
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,Java
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,Communication
